,8,16,32,64,128,256,512
1,0.0174911,0.0216801,0.0184621,0.0225241,0.0197151,0.0219941,0.022287
2,0.0359462,0.0350832,0.0445512,0.0439112,0.0440182,0.0356012,0.043268
4,0.0868634,0.0878154,0.0720934,0.0845704,0.0742444,0.0888894,0.089382
8,0.1654588,0.1718598,0.1809198,0.1757228,0.1744258,0.1715448,0.142826
16,0.34506016,0.35228816,0.28542116,0.28095416,0.36111716,0.34824316,0.348795
32,0.64106832,0.67249732,0.69568732,0.68913332,0.68417532,0.67390132,0.701821
64,0.92163664,1.26925564,1.30155864,1.37291564,1.12213064,1.41456164,1.361466
128,1.788710128,2.176678128,2.489475128,2.678469128,2.689577128,2.660545128,2.172881
256,0.887094256,1.188014256,1.280444256,1.389780256,1.130072256,1.406608256,1.348409
512,1.771670512,2.220710512,2.469588512,2.016802512,2.177908512,2.715249512,2.761833
1024,2.5453041024,3.5981931024,4.3841411024,4.9662561024,5.2495131024,5.2201611024,3.926992
2048,3.3408802048,5.2053302048,7.0985882048,8.6618352048,9.5029092048,9.6236522048,7.621155
4096,3.7591934096,6.6482144096,10.0925304096,13.5953624096,16.0840554096,13.0920504096,15.504366
8192,4.2578138192,7.5902648192,12.5768848192,18.0868918192,24.3833888192,23.4397068192,22.933437
,8,16,32,64,128,256,512
1,0.0134281,0.0197111,0.0215451,0.0221031,0.0186451,0.0190851,0.020073
2,0.0438192,0.0425272,0.0439332,0.0420462,0.0406052,0.0393502,0.044218
4,0.0878824,0.0866824,0.0858074,0.0885724,0.0781284,0.0705844,0.051803
8,0.1736208,0.1782288,0.1727268,0.1766148,0.1563728,0.1723308,0.171390
16,0.33653816,0.34749316,0.34912116,0.29349216,0.33091016,0.30549416,0.354417
32,0.62860732,0.59794732,0.68872832,0.69638932,0.66535032,0.68473432,0.621215
64,1.10906064,1.23757964,1.31744664,1.33915864,1.24625964,1.35917864,1.335194
128,1.800748128,2.206401128,2.449355128,2.658333128,2.388985128,2.203637128,2.367285
256,0.995424256,0.743343256,1.331543256,1.083847256,1.190446256,1.069909256,1.401942
512,1.481475512,0.046640512,2.237729512,2.471865512,0.552885512,2.072343512,2.199384
1024,2.5176991024,3.1022851024,4.0013221024,4.5684901024,4.7749101024,4.8037581024,4.738456
2048,3.2608602048,4.3031012048,7.1163332048,7.1282952048,7.9876272048,9.0577412048,8.569438
4096,3.9015484096,6.5410334096,9.9050744096,13.1252454096,13.9069524096,15.2123454096,10.063280
8192,4.2448198192,7.2811638192,12.4212228192,17.3899268192,23.7541658192,23.9000178192,21.695364
